epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6555,1.08437,3.31374,1.20755,0.00389,0.63158,0.47914,0.47832,0.66031,3.29867,1.12669,8.335e-05,8.335e-05,8.335e-05
2,26.3081,0.64682,3.93825,0.84472,0.00829,0.50413,0.50499,0.46005,0.66438,2.92009,0.94739,0.000179739,0.000179739,0.000179739
3,37.188,0.72702,1.32245,1.00075,0.99541,0.5,0.50474,0.4888,0.57362,2.73321,0.8839,0.000272168,0.000272168,0.000272168
4,47.6623,0.61302,1.03125,0.94167,0.00677,1,0.50372,0.48044,0.53922,2.90272,0.87194,0.000360635,0.000360635,0.000360635
5,58.1493,0.62295,1.01456,0.96968,0.99928,0.5,0.50369,0.47552,0.55658,2.66505,0.86255,0.000445142,0.000445142,0.000445142
6,68.6604,0.65889,0.9612,0.93721,0.99479,0.5,0.53578,0.49552,0.59363,2.47049,0.87204,0.000525688,0.000525688,0.000525688
7,79.2476,0.61013,0.92932,0.94602,0.99526,0.5,0.54668,0.5229,0.52898,2.44553,0.86125,0.000602274,0.000602274,0.000602274
8,89.7601,0.52849,0.87194,0.90591,0.99009,0.5,0.63592,0.59316,0.59441,2.47747,0.88127,0.000674898,0.000674898,0.000674898
9,100.16,0.62149,0.80441,0.92671,0.99496,0.5,0.73371,0.66247,0.55242,2.29294,0.91001,0.000743562,0.000743562,0.000743562
10,110.626,0.58128,0.74629,0.90419,0.98348,0.5,0.82353,0.75237,0.50032,2.19794,0.88806,0.000808265,0.000808265,0.000808265
11,121.139,0.61344,0.80714,0.9408,0.97887,0.5,0.97059,0.87364,0.50675,1.91998,0.90416,0.000869007,0.000869007,0.000869007
12,132.04,0.54286,0.76319,0.90293,0.97661,0.58388,0.995,0.89156,0.50502,1.67367,0.8948,0.000925788,0.000925788,0.000925788
13,142.591,0.57229,0.79623,0.9289,0.86848,0.79317,0.995,0.87675,0.49927,1.34427,0.90115,0.000978609,0.000978609,0.000978609
14,152.953,0.57022,0.7741,0.91975,0.96243,0.72337,0.995,0.88204,0.49373,1.27954,0.89806,0.00102747,0.00102747,0.00102747
15,163.49,0.5293,0.69316,0.87914,0.97564,0.98223,0.995,0.90983,0.43342,1.02735,0.86123,0.00107237,0.00107237,0.00107237
16,173.895,0.51715,0.67496,0.86211,0.97134,1,0.995,0.89365,0.45502,0.90739,0.86859,0.00111331,0.00111331,0.00111331
17,184.316,0.50285,0.69988,0.89336,0.97109,1,0.995,0.89201,0.44805,0.98341,0.87428,0.00113889,0.00113889,0.00113889
18,194.622,0.52953,0.68225,0.88533,0.97244,1,0.995,0.89609,0.48963,0.79116,0.90485,0.00110589,0.00110589,0.00110589
19,205.083,0.45235,2.70181,0.73359,0.97389,1,0.995,0.8895,0.52705,0.81812,0.91166,0.00107288,0.00107288,0.00107288
20,215.987,0.50303,0.66484,0.8739,0.9419,0.99909,0.995,0.8993,0.4626,0.88491,0.87654,0.00103987,0.00103987,0.00103987
21,226.329,0.46113,2.63364,0.74436,0.94766,1,0.995,0.93073,0.42106,0.7625,0.86799,0.00100687,0.00100687,0.00100687
22,236.849,0.50759,0.66164,0.88235,0.97638,0.99192,0.995,0.90929,0.47375,0.72933,0.88932,0.000973861,0.000973861,0.000973861
23,247.215,0.48032,0.69375,0.89004,0.86969,1,0.995,0.92011,0.40366,0.74554,0.85709,0.000940855,0.000940855,0.000940855
24,257.587,0.53791,0.66414,0.89143,0.97924,1,0.995,0.9358,0.40479,0.68075,0.857,0.000907848,0.000907848,0.000907848
25,267.871,0.46316,0.62478,0.88366,0.98374,1,0.995,0.92439,0.40991,0.63344,0.85569,0.000874842,0.000874842,0.000874842
26,278.312,0.55051,0.63644,0.92144,0.97104,1,0.995,0.92923,0.3827,0.57517,0.84737,0.000841835,0.000841835,0.000841835
27,288.719,0.72608,1.08678,1.11228,0.93418,1,0.99125,0.93549,0.37608,0.61728,0.84773,0.000808828,0.000808828,0.000808828
28,299.247,0.50232,0.62723,0.90084,0.97054,1,0.995,0.92464,0.41101,0.62671,0.86725,0.000775822,0.000775822,0.000775822
29,309.53,0.47499,0.56665,0.87057,0.98402,1,0.995,0.93314,0.38879,0.58918,0.85841,0.000742815,0.000742815,0.000742815
30,319.822,0.41105,0.52149,0.85356,0.98758,0.99526,0.995,0.93127,0.39764,0.54267,0.8565,0.000709809,0.000709809,0.000709809
31,330.254,0.45645,0.53189,0.85402,0.98633,0.99617,0.995,0.91238,0.39811,0.53902,0.85748,0.000676802,0.000676802,0.000676802
32,340.699,0.44217,0.54449,0.88304,0.98441,0.99944,0.995,0.93244,0.38723,0.53958,0.85816,0.000643795,0.000643795,0.000643795
33,350.995,0.47684,0.58439,0.88425,0.98398,1,0.995,0.94332,0.35889,0.52438,0.84643,0.000610789,0.000610789,0.000610789
34,361.616,0.50103,0.53631,0.92283,0.98738,1,0.995,0.9388,0.38842,0.52934,0.85558,0.000577782,0.000577782,0.000577782
35,372.005,0.43353,0.51064,0.85477,0.9882,1,0.995,0.94024,0.38712,0.52295,0.8545,0.000544776,0.000544776,0.000544776
36,382.381,0.51946,0.60578,0.90218,0.99012,1,0.995,0.92906,0.41249,0.52096,0.86228,0.000511769,0.000511769,0.000511769
37,392.632,0.44602,0.53124,0.88427,0.99263,0.99962,0.995,0.93253,0.38963,0.50302,0.85354,0.000478762,0.000478762,0.000478762
38,403.046,0.39835,0.48743,0.84765,0.99122,1,0.995,0.9461,0.34056,0.46511,0.83322,0.000445756,0.000445756,0.000445756
39,413.585,0.42664,0.47827,0.8652,0.96562,1,0.99375,0.92429,0.35295,0.46639,0.83595,0.000412749,0.000412749,0.000412749
40,423.895,0.38977,0.48304,0.83549,0.98937,1,0.995,0.93816,0.35762,0.47616,0.83873,0.000379743,0.000379743,0.000379743
41,434.164,0.34598,0.59798,0.78685,0.99093,0.99809,0.995,0.94117,0.36462,0.48993,0.84354,0.000346736,0.000346736,0.000346736
42,444.481,0.30501,0.52677,0.78407,0.98781,0.99853,0.995,0.9382,0.34668,0.53613,0.84221,0.000313729,0.000313729,0.000313729
43,454.647,0.34668,0.58669,0.79693,0.98812,1,0.995,0.94446,0.35294,0.53422,0.84502,0.000280723,0.000280723,0.000280723
44,465.117,0.31449,0.54486,0.80599,0.99243,1,0.995,0.9425,0.3621,0.51728,0.84866,0.000247716,0.000247716,0.000247716
45,475.229,0.3443,0.5503,0.7973,0.99178,1,0.995,0.93898,0.36081,0.49977,0.84881,0.00021471,0.00021471,0.00021471
46,486.262,0.32608,0.54152,0.80136,0.98958,1,0.995,0.93145,0.34705,0.46509,0.84495,0.000181703,0.000181703,0.000181703
47,496.367,0.34091,0.61729,0.77752,0.98904,1,0.995,0.94037,0.33894,0.45318,0.84199,0.000148696,0.000148696,0.000148696
48,506.608,0.26414,0.48303,0.79285,0.98977,1,0.995,0.93883,0.32664,0.42541,0.83787,0.00011569,0.00011569,0.00011569
49,517.05,0.27354,0.48342,0.81034,0.99014,1,0.995,0.94554,0.3226,0.41751,0.83717,8.26832e-05,8.26832e-05,8.26832e-05
50,527.416,0.30709,0.48184,0.77985,0.99142,1,0.995,0.9418,0.32356,0.41348,0.83741,4.96766e-05,4.96766e-05,4.96766e-05
